max_rendimiento;tipo_transmision;tipo_motor;tipo_combustible;tipo_drivetrain
22;6-Speed A/T;5.3L V8 16V GDI OHV;Gasoline;4WD
23;6-Speed A/T;2.7L V6 24V GDI DOHC Twin Turbo;Gasoline;4WD
27;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;4WD
17;6-Speed A/T;5.7L V8 32V MPFI DOHC;Gasoline;4WD
19;10-Speed A/T;6.2L V8 16V GDI OHV;Gasoline;4WD
30;8-Speed A/T;5.7L V8 16V MPFI OHV;Gasoline;RWD
30;8-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;RWD
39;Automatic CVT;2.0L I4 16V MPFI DOHC;Gasoline;4WD
25;A/T;Turbocharged Gas V8 4.6L/285;Gasoline;RWD
27;Automatic CVT;3.5L V6 24V GDI DOHC;Gasoline;4WD
26;A/T;3.5L DOHC dual CVVT 24-valve V6 engine;Gasoline;AWD
27;Automatic CVT;3.5L V6 24V GDI DOHC;Gasoline;4WD
24;8-Speed A/T;3.5L V6 24V PDI DOHC;Gasoline;AWD
36;5-Speed M/T;4 Cylinder Engine;Gasoline;4WD
27;4-Speed A/T;3.0L V6 24V MPFI DOHC;Gasoline;4WD
26;7-Speed Automatic with Auto-Shift;2.9L V6 24V GDI DOHC Twin Turbo;Gasoline;AWD
29;6-Speed A/T;2.4L I4 16V GDI DOHC;Gasoline;4WD
18;6-Speed A/T;4.6L V8 32V MPFI DOHC;Gasoline;4WD
24;8-Speed A/T;4.6L V8 32V PDI DOHC;Gasoline;RWD
21;6-Speed A/T;4.3L V6 12V GDI OHV;Gasoline;RWD
35;8-Speed A/T;2.0L 4-Cylinder DOHC 16V Turbocharged;Gasoline;RWD
22;A/T;2.0L TwinPower Turbo 4-Cylinder 16V DOHC;Gasoline;AWD
24;A/T;V6;Gasoline;4WD
34;8 speed tiptronic s automatic;V6 Cylinder Engine;Gasoline;AWD
23;6-Speed M/T;290.0HP 4.4L 8 Cylinder Engine Gasoline Fuel;Gasoline;RWD
24;6-Speed A/T;2.5L I4 16V GDI DOHC;Gasoline;AWD
33;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
34;8-Speed A/T;3.8L V6 24V GDI DOHC;Gasoline;AWD
24;8-Speed A/T;2.4L I4 16V GDI DOHC;Gasoline;AWD
27;8-Speed A/T;2.4L I4 16V GDI DOHC;Gasoline;AWD
27;1-Speed A/T;Electric;Electric;AWD
114;9-Speed A/T;4.0L V8 32V GDI DOHC Twin Turbo;Gasoline;AWD
27;5-Speed A/T;3.5L V6 24V MPFI DOHC;Gasoline;AWD
22;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
25;8-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;4WD
26;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
26;7-Speed Automatic with Auto-Shift;3.0L I6 24V GDI DOHC Twin Turbo;Gasoline;RWD
22;6-Speed A/T;3.5L V6 24V PDI DOHC;Gasoline;4WD
26;1-Speed A/T;Electric;Electric;AWD
117;Automatic CVT;2.5L H4 16V GDI DOHC;Gasoline;AWD
28;7-Speed Automatic with Auto-Shift;3.4L H6 24V GDI DOHC;Gasoline;RWD
25;6-Speed A/T;3.7L V6 24V MPFI DOHC;Gasoline;4WD
20;5-Speed A/T;4.0L V6 24V MPFI DOHC;Gasoline;4WD
33;1-Speed A/T;Electric;Electric;AWD
26;8-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;4WD
114;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
30;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;RWD
30;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;RWD
22;5-Speed A/T;4.0L V6 24V MPFI DOHC;Gasoline;4WD
40;Automatic CVT;1.5L I4 16V GDI DOHC Turbo;Gasoline;4WD
26;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
40;Automatic CVT;2.0L I4 16V PDI DOHC;Gasoline;4WD
20;5-Speed A/T;4.0L V6 24V MPFI DOHC;Gasoline;4WD
