vin;estado;numero_millas;color_interior;color_exterior;precio_rel;value_for_money_rating_rel;consumer_rating;consumer_reviews;comfort_rating;reliability_rating;exterior_styling_rating;performance_rating;interior_design_rating;marca;modelo;year;nombre_vendedor
5XYZWDLA4GG306933;Used;68808;Gray;Mineral Gray;21.998;4.5;4.5;74;4.6;4.4;4.7;4.3;4.5;Hyundai;Santa Fe Sport 2.0L Turbo;2016;Dahl Automotive La Crosse
5N1AT2MT6JC778584;Used;60199;Charcoal;Caspian Blue;24.995;4.6;4.7;415;4.7;4.7;4.8;4.6;4.7;Nissan;Rogue SL;2018;Northshore Toyota
ZARFANAN1L7629914;Used;12565;Black;Lunare White Metallic;37;4.7;4.9;11;5;4.6;5;5;5;Alfa;Romeo Giulia Base;2020;James Chrysler Dodge Jeep Ram
1C6SRFHT7MN500656;Used;22292;Black;Diamond Black;59.959;4.6;4.8;92;4.9;4.8;4.9;4.8;4.9;RAM;1500 Limited;2021;Huntley Ford
5N1DL0MM6KC548734;Used;34477;Wheat;Mocha Almond;39.718;4.5;4.6;56;4.8;4.6;4.7;4.5;4.6;INFINITI;QX60 Luxe;2019;Bob Rohrman's Schaumburg Lincoln
SALYL2EXXKA799108;Used;39388;Ebony / Ebony;Santorini Black;57.697;3;3.5;15;3.7;2.9;4.5;3.3;4.2;Land;Rover Range Rover Velar P250 SE R-Dynamic;2019;Jaguar Land Rover Hinsdale
1C4RJFBGXKC660632;Used;25633;Black;Diamond Black;37.477;4.6;4.8;224;4.9;4.8;4.9;4.8;4.9;Jeep;Grand Cherokee Limited;2019;Castle Chrysler Dodge Jeep Ram
2FMPK4J93KBB25052;Used;43414;Ebony;Sea Green;28.991;4.6;4.7;193;4.8;4.7;4.8;4.7;4.7;Ford;Edge SEL;2019;Bob Thomas Ford West
5XYPG4A32KG505321;Used;84775;Stone Beige;Blaze Blue;21.916;4.7;4.7;256;4.8;4.8;4.8;4.7;4.8;Kia;Sorento LX;2019;Jeff Wyler Springfield Chrysler Dodge Jeep RAM
LYV102DK3KB350899;New;35306;Black;Ice White;38.395;4.8;4.9;82;5;4.9;4.9;4.9;4.9;Volvo;XC60 T5 Momentum;2019;North Point Volvo Cars
1C4RJFBG0KC759749;Used;44957;Black;Diamond Black;32.837;4.6;4.8;224;4.9;4.8;4.9;4.8;4.9;Jeep;Grand Cherokee Limited;2019;Rochester Hills Chrysler Dodge Jeep RAM
